speaker_split	speaker_id	tracker_id	start_offset_ms	end_offset_ms	dress_distinct_word_types	fleece_distinct_word_types	pair_support_status	dress_minus_fleece_f1_20_hz	fleece_minus_dress_f2_20_hz	dress_minus_fleece_f1_30_hz	fleece_minus_dress_f2_30_hz	dress_minus_fleece_f1_40_hz	fleece_minus_dress_f2_40_hz	dress_minus_fleece_f1_50_hz	fleece_minus_dress_f2_50_hz	dress_minus_fleece_f1_60_hz	fleece_minus_dress_f2_60_hz	dress_minus_fleece_f1_70_hz	fleece_minus_dress_f2_70_hz	dress_minus_fleece_f1_80_hz	fleece_minus_dress_f2_80_hz
DEVELOPMENT_EVEN	p226	T4500_W025	-20	-20	4	7	PASS_AT_LEAST_4_EACH	111.51236951367969	452.57908260400200	127.89346531509324	511.67418801896815	167.77263307490108	486.56235990017535	194.37409976464323	549.66921130191258	210.67722934065284	546.28440466833081	217.58583069602167	576.45550047845131	217.22986081596923	694.70147204093360
DEVELOPMENT_EVEN	p232	T4500_W025	-20	-20	6	6	PASS_AT_LEAST_4_EACH	90.640017062644120	219.21272715379246	127.45130452182582	236.80134421263551	158.78683599764088	265.10622054036412	187.59703541907260	294.13064161915554	206.85162019882381	334.95385325190136	217.64577317742851	389.53655285321543	224.37520888732053	375.34306714201853
DEVELOPMENT_EVEN	p234	T4500_W025	-20	-20	4	8	PASS_AT_LEAST_4_EACH	173.32971336912999	425.54047013783611	184.51724251547950	519.19212297187414	215.14096466624324	526.12079804326800	247.51016529507086	321.89501450524631	248.02707228267343	355.24019127021324	257.34857249289814	436.08087794204812	236.39413139604579	674.01978784381208
DEVELOPMENT_EVEN	p236	T4500_W025	-20	-20	6	8	PASS_AT_LEAST_4_EACH	225.69042957942293	174.42692979800654	195.01530061156461	-95.310442654214967	218.42952159119022	132.14064344375333	244.71925193798381	-71.975793668248798	256.53684275298826	-212.78787712922690	268.25254472674175	205.27394070030641	211.67195587178742	455.80424133438692
DEVELOPMENT_EVEN	p238	T4500_W025	-20	-20	7	6	PASS_AT_LEAST_4_EACH	253.56813085290770	334.66292278818787	273.11555657861499	834.37381178566829	349.54818169080858	1102.3020601770543	418.90051833596198	1095.2074911606812	418.91630867395259	1619.9870207276492	427.39440302152792	1571.0402424491042	434.67736143865062	1123.4740567020390
DEVELOPMENT_EVEN	p240	T4500_W025	-20	-20	4	5	PASS_AT_LEAST_4_EACH	112.95416012100242	548.60738539350950	229.72975171540941	337.33608712859063	283.32916248344600	220.55534883462474	325.75098545929120	449.74754681386366	253.31133979774552	1058.5094007338687	374.24460887091533	964.08870277234905	359.08290333934406	894.97770146159610
DEVELOPMENT_EVEN	p244	T4500_W025	-20	-20	6	5	PASS_AT_LEAST_4_EACH	77.573297269453633	309.03951956641708	87.171514115669197	774.21660119545527	66.235421432346584	904.77916248561201	93.899710949314169	911.63599627113786	155.76664217073289	616.13094144385650	176.93118155269946	542.50966046813642	189.13092401086755	704.07938487775004
DEVELOPMENT_EVEN	p246	T4500_W025	-20	-20	6	7	PASS_AT_LEAST_4_EACH	117.66508667600363	215.73038360932060	117.55992887331865	338.06218105042262	149.24454135194816	427.27022338508414	183.28071659434636	479.04257165238232	197.30269480048844	468.97084228503309	206.60393553616740	457.91162524634660	213.94344739236391	485.32536251271290
DEVELOPMENT_EVEN	p248	T4500_W025	-20	-20	5	4	PASS_AT_LEAST_4_EACH	98.798894287474184	256.62530521026611	156.10502373202013	-22.887198839119947	256.08200361041463	-477.77572321486582	282.24403575081107	-116.80657569506548	286.56807203538995	-9.2549688299015997	275.87757599345036	-117.93716018638702	258.31541675783762	-72.792163934805558
DEVELOPMENT_EVEN	p250	T4500_W025	-20	-20	6	8	PASS_AT_LEAST_4_EACH	190.69546609805184	438.22623668343135	196.46511990598975	329.66731402626351	207.36769344873716	266.33089343737220	229.05433012375647	373.90675900647079	266.65856141480975	373.72688541697494	280.66636363005216	237.22353541431403	271.39324930048133	322.11329038088820
DEVELOPMENT_EVEN	p252	T4500_W025	-20	-20	6	6	PASS_AT_LEAST_4_EACH	136.30411848652153	587.37713406468788	131.40570933176014	648.47500587360923	152.21531947290447	693.10303197598682	164.90905203186804	688.73406850705010	185.35340993326270	580.92521545859222	189.73928238380279	477.31570276661887	185.04615185543440	504.44030021151434
DEVELOPMENT_EVEN	p254	T4500_W025	-20	-20	4	7	PASS_AT_LEAST_4_EACH	115.31528614433722	459.28939841543706	125.49751891668296	471.18829343776019	155.79603553225650	527.57472120573175	191.15070500780001	636.37440919053142	222.04407862127795	642.16123887583717	235.03227232423887	708.17815480880972	232.17684874292149	967.16789061333247
DEVELOPMENT_EVEN	p256	T4500_W025	-20	-20	4	5	PASS_AT_LEAST_4_EACH	116.41273479176027	470.09274631515541	157.89120155160401	508.07419838525470	220.03167257590309	531.16186029538630	253.28282404508377	556.44897762808887	281.85944171308859	576.48036433991228	293.90607748567339	407.63469484024972	288.27394864580322	537.30389784910972
DEVELOPMENT_EVEN	p258	T4500_W025	-20	-20	4	8	PASS_AT_LEAST_4_EACH	104.67223865343931	539.95088242027327	109.50636035922582	612.93288348839314	141.17712807084212	648.76843493612432	160.97413355441773	676.76665944672368	177.95041966889937	664.76951763519060	191.46346766583423	678.80929247247059	203.42207772918675	671.24215388685161
DEVELOPMENT_EVEN	p262	T4500_W025	-20	-20	4	8	PASS_AT_LEAST_4_EACH	191.01992904666605	649.08025445704448	211.61875408555909	448.95510916841386	237.00823199992846	358.63777603200924	244.53354210180999	655.61944177812347	249.55702939403045	312.29706438373319	246.90840906708576	422.86359449874726	237.66592931172408	706.52683290781670
DEVELOPMENT_EVEN	p264	T4500_W025	-20	-20	7	7	PASS_AT_LEAST_4_EACH	110.62249005398570	458.67230389848510	115.89081487719102	811.24547497940443	112.36901633351198	1034.6685908946120	162.20223443170573	747.78516414610920	192.97070655300092	481.63568660442343	160.72174703614257	581.16842469331982	151.79790787863061	678.08965665142148
